trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
61;rev_009019.sql;rev_009031.sql;tiki_mypagewin;Insertion:NewTable;content;TEXT;false;0;-
61;rev_009019.sql;rev_009031.sql;tiki_mypagewin;Insertion:NewTable;contenttype;ENUM('IFRAME','WIKI');false;0;-
61;rev_009019.sql;rev_009031.sql;tiki_mypagewin;Insertion:NewTable;height;INT(11);false;0;-
61;rev_009019.sql;rev_009031.sql;tiki_mypagewin;Insertion:NewTable;id;INT(11);false;0;-
61;rev_009019.sql;rev_009031.sql;tiki_mypagewin;Insertion:NewTable;id_mypage;INT(11);false;0;-
61;rev_009019.sql;rev_009031.sql;tiki_mypagewin;Insertion:NewTable;inbody;ENUM('N','Y');false;0;-
61;rev_009019.sql;rev_009031.sql;tiki_mypagewin;Insertion:NewTable;left;INT(11);false;0;-
61;rev_009019.sql;rev_009031.sql;tiki_mypagewin;Insertion:NewTable;modal;ENUM('N','Y');false;0;-
61;rev_009019.sql;rev_009031.sql;tiki_mypagewin;Insertion:NewTable;title;VARCHAR(256);false;0;-
61;rev_009019.sql;rev_009031.sql;tiki_mypagewin;Insertion:NewTable;top;INT(11);false;0;-
61;rev_009019.sql;rev_009031.sql;tiki_mypagewin;Insertion:NewTable;width;INT(11);false;0;-
62;rev_009031.sql;rev_009044.sql;tiki_mypage;Insertion:UpdateTable;description;VARCHAR(255);false;0;-
62;rev_009031.sql;rev_009044.sql;tiki_mypage;Insertion:UpdateTable;name;VARCHAR(255);false;0;-
63;rev_009044.sql;rev_009081.sql;-;-;-;-;-;-;-
64;rev_009081.sql;rev_009093.sql;-;-;-;-;-;-;-
65;rev_009093.sql;rev_009116.sql;-;-;-;-;-;-;-
66;rev_009116.sql;rev_009123.sql;-;-;-;-;-;-;-
67;rev_009123.sql;rev_009124.sql;-;-;-;-;-;-;-
68;rev_009124.sql;rev_009134.sql;-;-;-;-;-;-;-
69;rev_009134.sql;rev_009176.sql;tiki_forums_queue;Insertion:UpdateTable;in_reply_to;VARCHAR(128);false;0;-
70;rev_009176.sql;rev_009192.sql;tiki_mypage_types;Insertion:NewTable;description;VARCHAR(255);false;0;-
70;rev_009176.sql;rev_009192.sql;tiki_mypage_types;Insertion:NewTable;id;INT(11);false;0;-
70;rev_009176.sql;rev_009192.sql;tiki_mypage_types;Insertion:NewTable;name;VARCHAR(256);false;0;-
70;rev_009176.sql;rev_009192.sql;tiki_mypage_types;Insertion:NewTable;permissions;VARCHAR(255);false;0;-
70;rev_009176.sql;rev_009192.sql;tiki_mypage_types;Insertion:NewTable;section;VARCHAR(255);false;0;-
70;rev_009176.sql;rev_009192.sql;tiki_mypage_types_components;Insertion:NewTable;compname;VARCHAR(255);false;0;-
70;rev_009176.sql;rev_009192.sql;tiki_mypage_types_components;Insertion:NewTable;id_mypage_types;INT(11);false;0;-
70;rev_009176.sql;rev_009192.sql;tiki_mypage_types_components;Insertion:NewTable;maxcount;INT(11);false;0;-
70;rev_009176.sql;rev_009192.sql;tiki_mypage_types_components;Insertion:NewTable;mincount;INT(11);false;0;-
71;rev_009192.sql;rev_009211.sql;tiki_mypage;Insertion:UpdateTable;bgcolor;VARCHAR(16);false;0;-
72;rev_009211.sql;rev_009230.sql;tiki_mypage_types;Insertion:UpdateTable;def_bgcolor;VARCHAR(8);false;0;-
72;rev_009211.sql;rev_009230.sql;tiki_mypage_types;Insertion:UpdateTable;def_height;INT(11);false;0;-
72;rev_009211.sql;rev_009230.sql;tiki_mypage_types;Insertion:UpdateTable;def_width;INT(11);false;0;-
72;rev_009211.sql;rev_009230.sql;tiki_mypage_types;Insertion:UpdateTable;fix_bgcolor;ENUM('NO','YES');false;0;-
